"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter-1","P2","P1","Experimenter 2-1","Experimenter ",
00:00:44.821,00:00:49.221,00:00:04.400,,,,,,,,,"(inaudible) cool feel free to (inaudible) and talk for a bit",,,,,
00:00:50.029,00:00:50.248,00:00:00.219,,,,,,,,,,,"yay (laughter)",,,
00:00:50.438,00:00:52.124,00:00:01.686,,,,,,,,,,"should I go to page one",,,,
00:00:52.124,00:00:54.469,00:00:02.345,,,,,,,,,,"because I'm on page two right now",,,,
00:00:54.668,00:00:58.360,00:00:03.692,,,,,,,,,,,"pause filler mine is on top so let's go",,,
00:00:58.360,00:00:58.500,00:00:00.140,,,,,,,,,,"okay",,,,
00:00:58.939,00:01:06.082,00:00:07.143,,,,,,,,,"okay so before you guys start tutoring pause filler we need to calibrate the pens",,,,,
00:01:06.082,00:01:08.507,00:00:02.425,,,,,,,,,"pause filler so hang out for a few minutes",,,,,
00:01:08.507,00:01:09.016,00:00:00.509,,,,,,,,,"pause filler talk to each other",,,,,
00:01:09.016,00:01:10.772,00:00:01.756,,,,,,,,,"and then we'll start",,,,,
00:01:10.772,00:01:15.192,00:00:04.420,,,,,,,,,,"now we wait for tech stuff to get fixed",,,,
00:01:15.192,00:01:16.948,00:00:01.756,,,,,,,,,,,"it's just like PA cyber",,,
00:01:16.948,00:01:17.925,00:00:00.977,,,,,,,,,,"I know right",,,,
00:01:17.925,00:01:20.609,00:00:02.684,,,,,,,,,,"they like telling me how computers never worked",,,,
00:01:20.609,00:01:22.804,00:00:02.195,,,,,,,,,,"I'm like I'm in cyber school I know that",,,,
00:01:22.804,00:01:24.211,00:00:01.407,,,,,,,,,,"I know that by now",,,,
00:01:25.029,00:01:26.346,00:00:01.317,,,,,,,,,,"it's kind of obvious",,,,
00:01:26.396,00:01:28.970,00:00:02.574,,,,,,,,,,,"how long have you been in PA Cyber",,,
00:01:28.970,00:01:30.896,00:00:01.926,,,,,,,,,,"pause filler two years I think",,,,
00:01:30.896,00:01:32.003,00:00:01.107,,,,,,,,,,"no this is my third year",,,,
00:01:32.512,00:01:32.971,00:00:00.459,,,,,,,,,,,"cool",,,
00:01:32.971,00:01:38.199,00:00:05.228,,,,,,,,,,"and before that I did another cyber school that wasn't as good (laughter)",,,,
00:01:38.588,00:01:45.124,00:00:06.536,,,,,,,,,,"yeah but then I'm actually pause filler switching schools to like a private school next year",,,,
00:01:45.173,00:01:46.251,00:00:01.078,,,,,,,,,,"so I won't be in anymore",,,,
00:01:47.019,00:01:48.117,00:00:01.098,,,,,,,,,,"how long have you been in it",,,,
00:01:48.217,00:01:50.082,00:00:01.865,,,,,,,,,,,"seven years which I'm seventh grade so",,,
00:01:50.362,00:01:50.940,00:00:00.578,,,,,,,,,,"wow",,,,
00:01:51.200,00:01:53.784,00:00:02.584,,,,,,,,,,,"you never know (inaudible)",,,
00:01:53.784,00:01:56.807,00:00:03.023,,,,,,,,,,"exactly because before that I was home schooled",,,,
00:01:56.807,00:01:57.376,00:00:00.569,,,,,,,,,,"so it's like",,,,
00:01:57.376,00:01:59.261,00:00:01.885,,,,,,,,,,"it's not exactly cyber school",,,,
00:01:59.261,00:02:04.001,00:00:04.740,,,,,,,,,,"but it just (inaudible)",,,,
00:02:04.001,00:02:05.098,00:00:01.097,,,,,,,,,,"so do you take all virtuals",,,,
00:02:05.727,00:02:05.856,00:00:00.129,,,,,,,,,,,"yeah",,,
00:02:05.856,00:02:13.070,00:00:07.214,,,,,,,,,,"okay I take two virtuals and like two self-paced which is self-pace kind of stick though",,,,
00:02:13.070,00:02:14.886,00:00:01.816,,,,,,,,,,"I don't think there is as good as virtuals so",,,,
00:02:14.976,00:02:18.168,00:00:03.192,,,,,,,,,,,"yeah I think I did it like one year",,,
00:02:18.268,00:02:20.044,00:00:01.776,,,,,,,,,,,"and I didn't",,,
00:02:20.044,00:02:23.047,00:00:03.003,,,,,,,,,,"yeah I think I just did it because",,,,
00:02:23.846,00:02:25.382,00:00:01.536,,,,,,,,,,"I don't know",,,,
00:02:25.382,00:02:26.100,00:00:00.718,,,,,,,,,,"I feel like (inaudible)",,,,
00:02:26.150,00:02:31.638,00:00:05.488,,,,,,,,,,"and I feel like that would be really boring like as a virtual",,,,
00:02:31.638,00:02:32.705,00:00:01.067,,,,,,,,,,"but I think I'm wrong",,,,
00:02:33.354,00:02:40.837,00:00:07.483,,,,,,,,,,"no I always liked to see pause filler if people have the same teachers with me",,,,
00:02:40.837,00:02:45.297,00:00:04.460,,,,,,,,,,"but I know it's like really really brighter like",,,,
00:02:45.297,00:02:46.265,00:00:00.968,,,,,,,,,,"what's your name",,,,
00:02:46.464,00:02:46.754,00:00:00.290,,,,,,,,,,,"Darby",,,
00:02:47.262,00:02:51.173,00:00:03.911,,,,,,,,,,"okay yeah I don't think I have any Darbys in any of my classes",,,,
00:02:51.553,00:02:53.179,00:00:01.626,,,,,,,,,,,"what grade are you in",,,
00:02:53.179,00:02:58.287,00:00:05.108,,,,,,,,,,"seventh yeah so we could have made in the same class but",,,,
00:02:58.547,00:02:59.000,00:00:00.453,,,,,,,,,,,"what's your name",,,
00:02:59.000,00:02:59.554,00:00:00.554,,,,,,,,,,,"Jayel",,,
00:02:59.554,00:03:04.054,00:00:04.500,,,,,,,,,,,"I don't think I remember do you know one kid named Kinsley",,,
00:03:04.723,00:03:05.910,00:00:01.187,,,,,,,,,,"Kinsley nope I don't",,,,
00:03:06.159,00:03:08.364,00:00:02.205,,,,,,,,,,,"so I think she had a kid named Kale in the class",,,
00:03:08.744,00:03:09.981,00:00:01.237,,,,,,,,,,,"but I'm not sure",,,
00:03:10.629,00:03:11.038,00:00:00.409,,,,,,,,,,"yeah",,,,
00:03:11.038,00:03:13.183,00:00:02.145,,,,,,,,,,,"what all teachers have you had",,,
00:03:14.032,00:03:15.109,00:00:01.077,,,,,,,,,,"what teachers do I have",,,,
00:03:15.708,00:03:15.847,00:00:00.139,,,,,,,,,,,"yeah",,,
00:03:16.346,00:03:23.620,00:00:07.274,,,,,,,,,,"yeah pause filler right now I have Ms. Domingo and Ms. Frizzle which is really funny because Ms. Frizzle",,,,
00:03:23.620,00:03:29.097,00:00:05.477,,,,,,,,,,"I always like joke around about it because you know like Ms. Frizzle from like the Magic School Bus or whatever",,,,
00:03:29.137,00:03:29.476,00:00:00.339,,,,,,,,,,,"yeah",,,
00:03:29.546,00:03:31.582,00:00:02.036,,,,,,,,,,"it sounds just like that",,,,
00:03:31.731,00:03:32.460,00:00:00.729,,,,,,,,,,"it's really funny",,,,
00:03:33.378,00:03:36.830,00:00:03.452,,,,,,,,,,"and then all my English teachers have the weird names",,,,
00:03:36.830,00:03:39.773,00:00:02.943,,,,,,,,,,"like my English teacher before that her name was Ms. Azola",,,,
00:03:39.773,00:03:44.093,00:00:04.320,,,,,,,,,,"and she was like oh what if I meet a soda company",,,,
00:03:44.093,00:03:46.049,00:00:01.956,,,,,,,,,,"and I get called Asolo Soda (laughter)",,,,
00:03:46.109,00:03:51.037,00:00:04.928,,,,,,,,,,"it was like oh all the English teachers with the weird names",,,,
00:03:51.337,00:03:54.440,00:00:03.103,,,,,,,,,,,"mm-hmm I have Ms. Cunningham",,,
00:03:54.639,00:03:59.867,00:00:05.228,,,,,,,,,,"oh it's like I've ever had a Ms. Cunningham but yeah",,,,
00:03:59.867,00:04:05.205,00:00:05.338,,,,,,,,,,"but you could have had in the class the other like last or a year before that",,,,
00:04:05.205,00:04:11.621,00:00:06.416,,,,,,,,,,"but you type your number every single person in your class",,,,
00:04:11.621,00:04:11.720,00:00:00.099,,,,,,,,,,,"yeah",,,
00:04:11.720,00:04:17.467,00:00:05.747,,,,,,,,,,"yeah it's true so they're the memorable ones",,,,
00:04:17.777,00:04:22.695,00:00:04.918,,,,,,,,,,"how long does it take to get a pair of pen sticks apparently a while",,,,
00:04:24.252,00:04:26.467,00:00:02.215,,,,,,,,,,,"I don't know",,,
00:04:26.467,00:04:27.834,00:00:01.367,,,,,,,,,,"I bet it makes sense to them",,,,
00:04:27.834,00:04:30.099,00:00:02.265,,,,,,,,,,"but I don't really understand why we're supposed to use Skype",,,,
00:04:30.099,00:04:31.805,00:00:01.706,,,,,,,,,,"it's normal for me though",,,,
00:04:31.805,00:04:32.802,00:00:00.997,,,,,,,,,,"because that's what I do",,,,
00:04:32.802,00:04:34.908,00:00:02.106,,,,,,,,,,"it's like classes are like Skype so it's",,,,
00:04:34.908,00:04:37.362,00:00:02.454,,,,,,,,,,,"I've never used Skype ever (laughter)",,,
00:04:37.731,00:04:38.649,00:00:00.918,,,,,,,,,,"really yeah",,,,
00:04:38.649,00:04:41.333,00:00:02.684,,,,,,,,,,,"all my friends have it",,,
00:04:41.403,00:04:42.760,00:00:01.357,,,,,,,,,,"I don't use it a whole lot",,,,
00:04:42.760,00:04:44.456,00:00:01.696,,,,,,,,,,"but I'm saying it's not like super different",,,,
00:04:44.456,00:04:49.734,00:00:05.278,,,,,,,,,,"because virtual classes do resemble Skype like at least now that we have the board up",,,,
00:04:49.894,00:04:56.638,00:00:06.744,,,,,,,,,,"because that's like the boarding class I think like the whiteboard or whatever whatever you call it",,,,
00:04:56.758,00:04:59.901,00:00:03.143,,,,,,,,,,,"I would just call it screen",,,
00:05:00.450,00:05:03.223,00:00:02.773,,,,,,,,,,"yeah the screen the screen you type all over",,,,
00:05:03.223,00:05:05.668,00:00:02.445,,,,,,,,,,,"the screen of destiny (laughter)",,,
00:05:06.266,00:05:10.018,00:00:03.752,,,,,,,,,,"the screen of learning what are you learning",,,,
00:05:10.018,00:05:11.425,00:00:01.407,,,,,,,,,,"dreams are destroyed",,,,
00:05:11.425,00:05:13.819,00:00:02.394,,,,,,,,,,"and you sit there and watch them from port on",,,,
00:05:14.109,00:05:14.947,00:00:00.838,,,,,,,,,,,"yup",,,
00:05:15.126,00:05:15.426,00:00:00.300,,,,,,,,,,"yup",,,,
00:05:18.129,00:05:24.675,00:00:06.546,,,,,,,,,,"I think I've made a heart",,,,
00:05:24.675,00:05:34.832,00:00:10.157,,,,,,,,,,"I think PA Cyber like you know the pads we draw on",,,,
00:05:34.832,00:05:35.710,00:00:00.878,,,,,,,,,,,"the Bamboo pad",,,
00:05:36.468,00:05:41.526,00:00:05.058,,,,,,,,,,"yeah these I think PA Cyber has ever has like something similar to it",,,,
00:05:41.526,00:05:41.686,00:00:00.160,,,,,,,,,,,"yeah",,,
00:05:42.105,00:05:43.332,00:00:01.227,,,,,,,,,,"yeah I think it",,,,
00:05:43.332,00:05:44.959,00:00:01.627,,,,,,,,,,,"I had one but it broke",,,
00:05:44.959,00:05:47.193,00:00:02.234,,,,,,,,,,"yeah I tried submitting up",,,,
00:05:47.193,00:05:48.650,00:00:01.457,,,,,,,,,,"and it was too confusing",,,,
00:05:48.650,00:05:51.204,00:00:02.554,,,,,,,,,,"and it didn't work after I was trying",,,,
00:05:51.204,00:05:52.262,00:00:01.058,,,,,,,,,,"and so I gave up",,,,
00:05:52.791,00:05:54.537,00:00:01.746,,,,,,,,,,,"they might have given you the wrong pen",,,
00:05:54.537,00:05:56.881,00:00:02.344,,,,,,,,,,,"because I know you need to use the pen for it to on",,,
00:05:56.881,00:06:00.104,00:00:03.223,,,,,,,,,,"yeah I mean I've heard (inaudible) mine was",,,,
00:06:00.104,00:06:03.995,00:00:03.891,,,,,,,,,,"but it was definitely smaller than this",,,,
00:06:04.145,00:06:06.260,00:00:02.115,,,,,,,,,,"and it didn't have all these buttons",,,,
00:06:06.260,00:06:10.081,00:00:03.821,,,,,,,,,,,"I think that mine was like half size of this maybe",,,
00:06:10.121,00:06:14.032,00:00:03.911,,,,,,,,,,"yeah it was like kind of this size and the part you actually write on",,,,
00:06:14.032,00:06:17.175,00:00:03.143,,,,,,,,,,"but it didn't have like this plastic frame or whatever",,,,
00:06:17.175,00:06:17.405,00:00:00.230,,,,,,,,,,,"yeah",,,
00:06:17.405,00:06:19.530,00:00:02.125,,,,,,,,,,"I don't know if you have the same one as me",,,,
00:06:19.530,00:06:22.034,00:00:02.504,,,,,,,,,,"so I'm just hoping you understand what I'm talking about",,,,
00:06:22.034,00:06:22.144,00:00:00.110,,,,,,,,,,,"yeah",,,
00:06:24.199,00:06:29.268,00:00:05.069,,,,,,,,,,"I can't tell I'm pretty sure you're right there in that direction",,,,
00:06:29.837,00:06:31.782,00:00:01.945,,,,,,,,,,,"yeah I don't know (laughter)",,,
00:06:31.782,00:06:36.042,00:00:04.260,,,,,,,,,,"me neither I mean really like next to you because as I walked over",,,,
00:06:36.741,00:06:37.200,00:00:00.459,,,,,,,,,,,"I saw you yeah",,,
00:06:37.569,00:06:37.868,00:00:00.299,,,,,,,,,,"yeah",,,,
00:06:37.868,00:06:40.163,00:00:02.295,,,,,,,,,,,"because I was like that girls is familiar",,,
00:06:40.233,00:06:43.446,00:00:03.213,,,,,,,,,,"yeah could you see them list",,,,
00:06:43.446,00:06:45.002,00:00:01.556,,,,,,,,,,"I don't know what they're doing",,,,
00:06:45.391,00:06:46.429,00:00:01.038,,,,,,,,,,,"I can't see from here so",,,
00:06:46.758,00:06:48.923,00:00:02.165,,,,,,,,,,"yeah well they're like in the other room",,,,
00:06:48.923,00:06:49.981,00:00:01.058,,,,,,,,,,"but it's a clear wall",,,,
00:06:49.981,00:06:51.587,00:00:01.606,,,,,,,,,,"so I don't know what they're clinging right now",,,,
00:06:51.587,00:06:52.804,00:00:01.217,,,,,,,,,,"oh they're leaving again",,,,
00:06:52.804,00:06:53.563,00:00:00.759,,,,,,,,,,"oh well we still wait more",,,,
00:06:53.563,00:06:54.201,00:00:00.638,,,,,,,,,,"oh she's bringing a pen",,,,
00:06:54.201,00:06:55.039,00:00:00.838,,,,,,,,,,"maybe they're fixed",,,,
00:06:55.039,00:06:56.556,00:00:01.517,,,,,,,,,"all right so we are calibrated",,,,,
00:06:56.556,00:06:57.853,00:00:01.297,,,,,,,,,"and we are good to go",,,,,
00:06:58.002,00:06:58.092,00:00:00.090,,,,,,,,,,"okay",,,,
00:06:58.322,00:06:59.778,00:00:01.456,,,,,,,,,"and here is your stylus",,,,,
00:06:59.778,00:07:02.642,00:00:02.864,,,,,,,,,,,,"all right all good on our end so we're ready to begin",,
00:07:02.642,00:07:06.932,00:00:04.290,,,,,,,,,,,,"pause filler here are the problems that we're working on",,
00:07:07.062,00:07:08.608,00:00:01.546,,,,,,,,,"and Darby will begin green",,,,,
00:07:08.608,00:07:11.612,00:00:03.004,,,,,,,,,,"do I have to pause filler hold this down",,,,
00:07:11.751,00:07:13.048,00:00:01.297,,,,,,,,,"no actually don't hold that down",,,,,
00:07:13.198,00:07:13.986,00:00:00.788,,,,,,,,,"that does something",,,,,
00:07:13.986,00:07:17.359,00:00:03.373,,,,,,,,,,,,"pause filler there's ten of them to work through",,
00:07:17.588,00:07:20.741,00:00:03.153,,,,,,,,,,,,"so you'll be tutoring your text would be pause filler",,
00:07:20.741,00:07:22.527,00:00:01.786,,,,,,,,,,,,"there's ten of them to work through",,
00:07:22.527,00:07:23.395,00:00:00.868,,,,,,,,,,,,"and you'll be tutoring",,
00:07:23.395,00:07:25.999,00:00:02.604,,,,,,,,,,,,"your text would be pause filler (inaudible) and so",,
00:07:25.999,00:07:27.426,00:00:01.427,,,,,,,,,,,,"yeah just kind of help them through",,
00:07:27.426,00:07:28.453,00:00:01.027,,,,,,,,,,,,"you want to encircle things",,
00:07:28.553,00:07:31.177,00:00:02.624,,,,,,,,,,,,"but try to avoid solving it for them again this that pause filler",,
00:07:31.177,00:07:32.374,00:00:01.197,,,,,,,,,,"I can't hear that well",,,,
00:07:32.374,00:07:34.589,00:00:02.215,,,,,,,,,,"I just don't hold this",,,,
00:07:34.589,00:07:36.754,00:00:02.165,,,,,,,,,"just don't press the button yeah so put down right",,,,,
00:07:36.754,00:07:38.830,00:00:02.076,,,,,,,,,"so you have about twenty minutes",,,,,
00:07:38.830,00:07:40.765,00:00:01.935,,,,,,,,,"and you'll be working any questions (inaudible)",,,,,
00:07:40.765,00:07:40.935,00:00:00.170,,,,,,,,,,"pause filler nope",,,,
00:07:41.444,00:07:43.848,00:00:02.404,,,,,,,,,"great you have twenty minutes",,,,,
00:07:44.497,00:07:48.448,00:00:03.951,,,,,,,,,,,"is it the questions in the future to do",,,
00:07:48.448,00:07:49.575,00:00:01.127,,,,,,,,,,,,"pause filler they're very similar",,
00:07:49.705,00:07:50.653,00:00:00.948,,,,,,,,,,,,"they're just different numbers",,
00:07:50.653,00:07:54.145,00:00:03.492,,,,,,,,,,,,"but like see how x minus blank equals blank",,
00:07:54.464,00:08:00.251,00:00:05.787,,,,,,,,,,,,"and then this is same thing so different numbers but very similar logic so again pause filler",,
00:08:00.251,00:08:05.778,00:00:05.527,,,,,,,,,,,,"and yeah you can see yourself there",,
00:08:05.778,00:08:07.694,00:00:01.916,,,,,,,,,,,,"so just try to make sure you stay within the",,
00:08:07.764,00:08:09.909,00:00:02.145,,,,,,,,,,,"yeah I don't want to a little mess so (laughter)",,,
00:08:09.909,00:08:11.027,00:00:01.118,,,,,,,,,,,,"well yeah make sure you could stay in there",,
00:08:11.027,00:08:12.713,00:00:01.686,,,,,,,,,,,,"that we all need that pause filler so again",,
00:08:12.713,00:08:13.641,00:00:00.928,,,,,,,,,,,,"you're ready to begin",,
00:08:14.479,00:08:18.001,00:00:03.522,,,,,,,,,,,,"and again just try and solve as many as you can",,
00:08:18.001,00:08:24.087,00:00:06.086,,,,,,,,,,,,"don't be too worried about this is just an experiment",,
00:08:25.005,00:08:28.068,00:00:03.063,,,,,,,,,,,,"and I'll be back about twenty minutes and so again",,
00:08:28.068,00:08:31.939,00:00:03.871,,,,,,,,,,,,"these kind of helps one oh I'm sorry one other thing",,
00:08:32.318,00:08:35.511,00:00:03.193,,,,,,,,,,,,"pause filler when you're done with this go to the next problems",,
00:08:35.511,00:08:37.536,00:00:02.025,,,,,,,,,,,,"so you just put click these arrows down here",,
00:08:37.706,00:08:40.051,00:00:02.345,,,,,,,,,,,"that's twenty problems",,,
00:08:40.839,00:08:41.817,00:00:00.978,,,,,,,,,,,,"pause filler just worry about the first ten",,
00:08:41.817,00:08:44.161,00:00:02.344,,,,,,,,,,,,"and then the next ten are like something else",,
00:08:46.237,00:08:48.451,00:00:02.214,,,,,,,,,,,"nah okay what is oh I have this",,,
00:08:48.591,00:08:50.347,00:00:01.756,,,,,,,,,,,,"all righty pause filler good are you able to draw pause filler",,
00:08:50.347,00:08:51.914,00:00:01.567,,,,,,,,,,,"I think so",,,
00:08:52.103,00:08:52.462,00:00:00.359,,,,,,,,,,,,"push down",,
00:08:54.617,00:08:55.775,00:00:01.158,,,,,,,,,,"that was me",,,,
00:08:55.775,00:08:57.022,00:00:01.247,,,,,,,,,,,,"okay yeah so undo",,
00:08:57.541,00:08:59.227,00:00:01.686,,,,,,,,,,,,"and you're ready to begin",,
00:08:59.227,00:09:02.140,00:00:02.913,,,,,,,,,,,"oh my god another ah what the",,,
00:09:03.876,00:09:07.578,00:00:03.702,,,,,,,,,,,,"yeah just think like that's green like I said it's (inaudible)",,
00:09:08.007,00:09:10.142,00:00:02.135,,,,,,,,,,,"here we go (laughter)",,,
00:09:10.142,00:09:14.752,00:00:04.610,,,,,,,,,,,,"okay so yeah I'll be back in about twenty minutes",,
00:09:15.011,00:09:15.141,00:00:00.130,,,,,,,,,,,"great",,,
00:09:15.141,00:09:18.972,00:00:03.831,,,,,,,,,,"okay teach me",,,,
00:09:20.628,00:09:23.941,00:00:03.313,,,,,,,,,,,"pause filler so do you see the x minus x equals thirteen",,,
00:09:24.410,00:09:26.405,00:00:01.995,,,,,,,,,,"yup I see it same place you are",,,,
00:09:26.405,00:09:31.743,00:00:05.338,,,,,,,,,,,"I'm guessing this is a question we're working on and I thought",,,
00:09:31.743,00:09:33.619,00:00:01.876,,,,"SV",,"SV1A",,,,"yup pause filler just don't push the button",,,,
00:09:33.719,00:09:34.796,00:00:01.077,,,,"SV",,"SV1A",,,,"that's all I was told",,,,
00:09:35.095,00:09:35.295,00:00:00.200,,,"SV",,"SV1A",,,,,,"yeah (laughter)",,,
00:09:35.844,00:09:36.602,00:00:00.758,,,,,,,,,,"okay I'm ready",,,,
00:09:37.251,00:09:38.228,00:00:00.977,,,"SV",,"SV1A",,,,,,"don't press anything",,,
00:09:38.228,00:09:39.056,00:00:00.828,,,"SV",,"SV1A",,,,,,"just solve the problem (laughter)",,,
00:09:39.256,00:09:44.035,00:00:04.779,,,"SV",,"SV1A",,,,,,"so I have no idea how to explain this (laughter)",,,
00:09:44.684,00:09:45.322,00:00:00.638,,,,"SV",,"SV1A",,,,"it's okay",,,,
00:09:45.322,00:09:47.627,00:00:02.305,,,,"SV",,"SV1A",,,,"I already kind of understand this",,,,
00:09:47.627,00:09:48.655,00:00:01.028,,,,"SV",,"SV1A",,,,"so just do your best",,,,
00:09:49.812,00:09:52.955,00:00:03.143,,,,,,,,,,,"what I know and do for this is just do the opposite (laughter)",,,
00:09:54.282,00:09:57.564,00:00:03.282,,,,,,,,,,,"so like if you do x minus six this is thirteen plus six",,,
00:09:57.564,00:09:58.093,00:00:00.529,,,,,,,,,,,"that's the answer",,,
00:09:58.672,00:10:02.533,00:00:03.861,,,,,,,,,,"okay like the opposite operation all right should I do this",,,,
00:10:02.663,00:10:04.120,00:00:01.457,,,,,,,,,,"or should you do this",,,,
00:10:04.120,00:10:04.818,00:00:00.698,,,,,,,,,,,"I think you (laughter)",,,
00:10:04.968,00:10:05.287,00:00:00.319,,,,,,,,,,"okay",,,,
00:10:05.676,00:10:08.859,00:00:03.183,,,,,,,,,,,"it's just a thirteen plus six I mean",,,
00:10:09.048,00:10:12.620,00:00:03.572,,,,,,,,,,"this is hard to draw plus six okay",,,,
00:10:12.920,00:10:15.953,00:00:03.033,,,,,,,,,,,"no that is okay",,,
00:10:17.050,00:10:24.134,00:00:07.084,,,,,,,,,,"plus six so that would mean x equal to",,,,
00:10:24.134,00:10:27.846,00:00:03.712,,,,"SV",,"SV1A",,,,"that was a really bad equal to sign",,,,
00:10:27.846,00:10:29.472,00:00:01.626,,,,"SV",,"SV1A",,,,"I don't know what that is",,,,
00:10:30.100,00:10:36.336,00:00:06.236,,,,"SV",,"SV1A",,,,"I'm scared of it okay oh well nineteen",,,,
00:10:36.775,00:10:42.940,00:00:06.165,,,,,,,,,,"that's not a nine one minute okay wait",,,,
00:10:42.940,00:10:42.971,00:00:00.031,"TRC",,,,,,,,,"that's not a nine one minute okay wait",,,,
00:10:42.971,00:10:45.276,00:00:02.305,"TRC",,,"SV",,"SV1A",,,,"this is confusing",,,,
00:10:45.276,00:10:45.297,00:00:00.021,"TRC",,,,,,,,,,,,,
00:10:45.875,00:10:49.377,00:00:03.502,,,,,,,,,,"okay I think I got it now nineteen",,,,
00:10:49.377,00:10:51.163,00:00:01.786,,,,,,,,,,"there's my sloppy answer",,,,
00:10:51.771,00:10:55.213,00:00:03.442,,,,,,,,,,,"so then you can like double check it by nineteen minus six equals",,,
00:10:55.762,00:10:58.177,00:00:02.415,,,,,,,,,,"yeah that's a good trick okay",,,,
00:10:58.436,00:11:00.202,00:00:01.766,,,,,,,,,,"so I guess we'll move onto the next page now",,,,
00:11:00.202,00:11:01.260,00:00:01.058,,,,,,,,,,,"I suppose",,,
00:11:01.260,00:11:03.764,00:00:02.504,,,,,,,,,,,"so let's see if I can do that while messing out",,,
00:11:04.223,00:11:05.211,00:00:00.988,,,,,,,,,,"okay I'm on it",,,,
00:11:05.211,00:11:05.789,00:00:00.578,,,,,,,,,,"do you see it",,,,
00:11:05.839,00:11:07.416,00:00:01.577,,,,,,,,,,,"yeah I'm trying to get down good",,,
00:11:07.456,00:11:08.902,00:00:01.446,,,,,,,,,,,"I am not good at this",,,
00:11:09.212,00:11:12.125,00:00:02.913,,,,,,,,,,"okay just like okay do you see it",,,,
00:11:12.125,00:11:21.534,00:00:09.409,,,,,,,,,,"fifteen equals negative eight plus p or a q whatever",,,,
00:11:24.517,00:11:25.235,00:00:00.718,,,,,,,,,,,"so (laughter)",,,
00:11:25.235,00:11:28.099,00:00:02.864,,,,,,,,,,"are you on the first page or the second page",,,,
00:11:28.099,00:11:30.832,00:00:02.733,,,,,,,,,,,"second I see fifteen equals minus eight equals p",,,
00:11:31.301,00:11:31.531,00:00:00.230,,,,,,,,,,"okay",,,,
00:11:34.135,00:11:49.729,00:00:15.594,,,"SV",,"SV1A",,,,,,"so I'm guessing I'll do achy nose achy nose ah (laughter) so just that like minus eight to each side I think",,,
00:11:49.729,00:11:49.849,00:00:00.120,,,,,,,,,,"oh yeah",,,,
00:11:49.959,00:11:53.351,00:00:03.392,,,,,,,,,,,"that's what I'm doing here",,,
00:11:53.351,00:11:57.003,00:00:03.652,,,,,,,,,,"well at least minus negative eight yeah",,,,
00:11:57.202,00:12:00.535,00:00:03.333,,,,,,,,,,,"yeah so add negative eight to both I suppose",,,
00:12:01.044,00:12:04.496,00:00:03.452,,,,,,,,,,"yeah which is just basically just adding the (inaudible) no right",,,,
00:12:04.496,00:12:06.052,00:00:01.556,,,,,,,,,,,"or no add eight to each",,,
00:12:06.292,00:12:09.205,00:00:02.913,,,,,,,,,,,"because eight minus eight equals eight equals zero so",,,
00:12:09.694,00:12:14.633,00:00:04.939,,,,,,,,,,"so plus yeah because it should not be those like a positive",,,,
00:12:14.633,00:12:15.281,00:00:00.648,,,,,,,,,,"I think",,,,
